generation,solution,fitness
0,0,242.39119041698584
0,1,196.66535021685726
0,2,1228.1805703582595
0,3,1042.3046273588684
0,4,145.1839004463608
0,5,276.8534354675309
0,6,-41.805948318298086
0,7,218.28372195572098
0,8,236.2830875539276
0,9,233.2276287956488
0,10,1258.4633127148472
0,11,223.5350781194363
0,12,236.9775778378753
0,13,215.07939261044578
0,14,319.6384070375234
0,15,284.06513867966214
0,16,211.17941426752432
0,17,237.72929460200854
0,18,248.08604707425948
0,19,228.673809496405
1,1,309.94925939646976
1,2,359.360956619927
1,3,335.5778468388909
1,4,352.44081636077755
1,5,274.75176896410824
1,6,445.0917223031107
1,7,1002.4543194762849
1,8,408.89945507446373
1,9,1027.138222907037
1,10,194.9147103707262
1,11,410.69789868434503
1,12,371.751250186561
1,13,516.2559856810819
1,14,301.1432266633207
1,15,379.126390946145
1,16,340.02022335723643
1,17,245.2844113854925
1,18,205.44030283356636
1,19,161.8546271911496
2,1,1171.0436318089958
2,2,384.56630346636484
2,3,391.7763021263492
2,4,421.86278303917084
2,5,343.4956583873464
2,6,364.0957979624009
2,7,329.1689163024261
2,8,409.60200373237825
2,9,423.8317601985504
2,10,408.0838711362163
2,11,369.52687287608626
2,12,362.54784185451166
2,13,367.0339354352037
2,14,148.07174755087019
2,15,369.58371685367365
2,16,404.854297578835
2,17,363.9661816749801
2,18,344.2657112114045
2,19,328.70235762478757
3,1,370.0413212784153
3,2,374.515640175354
3,3,312.03869751445336
3,4,357.5473563897825
3,5,428.56573308458604
3,6,354.60926575579924
3,7,189.3642665648223
3,8,327.9008762113065
3,9,334.22168754796064
3,10,326.42723737648214
3,11,438.3175362177289
3,12,365.36758960869446
3,13,277.70767760811617
3,14,226.09797534395787
3,15,344.4800769017662
3,16,250.6706953926084
3,17,383.8640233896056
3,18,401.11676166607333
3,19,402.1486169416052
4,1,368.77625636145575
4,2,166.10600807985423
4,3,404.9151570204219
4,4,296.19087780708185
4,5,320.9247536093568
4,6,290.86143752357333
4,7,649.9341728175036
4,8,361.22958542569137
4,9,388.18500937915957
4,10,495.0787189962272
4,11,411.14011354118503
4,12,425.5307794815524
4,13,422.8682000271283
4,14,411.86425363862634
4,15,421.45661677171546
4,16,304.04875092239735
4,17,325.4994279924091
4,18,400.0664871701493
4,19,392.0152389847926
5,1,299.093740756592
5,2,350.4104568356768
5,3,-41.73187288561207
5,4,266.26185786562405
5,5,249.8816757715269
5,6,362.219234219054
5,7,308.43899489147736
5,8,120.99261570067861
5,9,375.3688929008107
5,10,215.59866645789805
5,11,296.409105974622
5,12,-111.97076451849452
5,13,1009.677534167067
5,14,608.9415912313414
5,15,344.0723043774328
5,16,450.28443937003567
5,17,342.4462775417697
5,18,399.2350002458656
5,19,277.03883268986556
6,1,211.30615900601825
6,2,976.5688735629802
6,3,70.9723861276601
6,4,337.1648628580575
6,5,1160.8328240517699
6,6,387.76553497982434
6,7,550.3411288565861
6,8,215.18085345973722
6,9,207.61773443331163
6,10,314.544914326712
6,11,282.0562300069896
6,12,186.04499198328952
6,13,274.34669881639246
6,14,328.2996044189062
6,15,243.6843937616188
6,16,340.84314559609845
6,17,1086.3083055686247
6,18,167.5023435464923
6,19,352.82557106313766
7,1,317.8777540247365
7,2,296.3789173533644
7,3,272.52694340103255
7,4,1041.7400621054219
7,5,1381.2845683498256
7,6,299.84891582695064
7,7,1040.9894350282527
7,8,-251.43654944209146
7,9,378.435569034549
7,10,1314.0371885807365
7,11,318.1313294795643
7,12,275.96460851863566
7,13,186.79752265336947
7,14,954.9069093858619
7,15,1687.8250746550727
7,16,300.093405264738
7,17,931.4432100535755
7,18,51.40424967931398
7,19,1294.8727957542649
8,1,355.34838021909155
8,2,372.5150989442079
8,3,113.1627778276689
8,4,122.57793105473944
8,5,352.34882956188795
8,6,2496.517924608685
8,7,308.2778824471798
8,8,162.6031379220355
8,9,150.7725939664582
8,10,363.81879765685056
8,11,299.07189778694055
8,12,265.0817334370156
8,13,286.2265616804007
8,14,341.7819484857198
8,15,339.8582173148716
8,16,300.1969352437557
8,17,1501.2313735775208
8,18,254.91183688730752
8,19,834.0121319980237
9,1,378.05786761400384
9,2,300.4302876816265
9,3,411.3003766415107
9,4,1638.007132548035
9,5,380.8130320238191
9,6,-248.293495814609
9,7,204.0093521955682
9,8,272.55032461547967
9,9,314.7897034372344
9,10,108.16402214146194
9,11,220.40940215907733
9,12,937.9750777507631
9,13,369.6338569502203
9,14,362.2287461650891
9,15,1312.2755060756706
9,16,305.2079975009243
9,17,369.9532285750683
9,18,308.61666453859976
9,19,386.3190046855474
10,1,1464.6982828357918
10,2,499.67897190175194
10,3,593.5473544740802
10,4,387.69411398980486
10,5,373.23586484459076
10,6,416.6981284746781
10,7,296.285737189301
10,8,407.969682247706
10,9,226.82654026861508
10,10,391.91541121597453
10,11,266.1241960456206
10,12,241.79410462908606
10,13,1352.6506587160832
10,14,321.11666458724807
10,15,355.72886546408927
10,16,323.2028281577718
10,17,140.77606072406616
10,18,300.2588664226142
10,19,274.1133945993223
10,1,1464.6982828357918
10,2,499.67897190175194
10,3,593.5473544740802
10,4,387.69411398980486
10,5,373.23586484459076
10,6,416.6981284746781
10,7,296.285737189301
10,8,407.969682247706
10,9,226.82654026861508
10,10,391.91541121597453
10,11,266.1241960456206
10,12,241.79410462908606
10,13,1352.6506587160832
10,14,321.11666458724807
10,15,355.72886546408927
10,16,323.2028281577718
10,17,140.77606072406616
10,18,300.2588664226142
10,19,274.1133945993223
